id	seqname	start	end	strand	ec	taxonomy	product
AEXL02000034_0	AEXL02000034	2	151	-			hypothetical protein
AEXL02000034_1	AEXL02000034	202	846	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AEXL02000034_2	AEXL02000034	1079	1243	-			hypothetical protein
AEXL02000037_0	AEXL02000037	118	846	-		Nitrosopumilus maritimus SCM1	transcriptional regulator, TrmB
AEXL02000037_1	AEXL02000037	1026	1541	+		"Nitrosopumilaceae" Konneke et al. 2005	Streptogramin lyase
AEXL02000037_2	AEXL02000037	1921	2535	+		Aigarchaeota	streptogramin lyase
AEXL02000037_3	AEXL02000037	2566	3444	+		marine archaeal group 1 strain BD31	cation diffusion facilitator family transporter
AEXL02000037_4	AEXL02000037	3558	3833	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AEXL02000037_5	AEXL02000037	3830	4354	+		Nitrosopumilus maritimus SCM1	hypothetical protein
AEXL02000037_6	AEXL02000037	4588	5646	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000037_7	AEXL02000037	5755	5874	+			hypothetical protein
AEXL02000036_0	AEXL02000036	1	1695	+		marine archaeal group 1 strain BD31	partial
AEXL02000031_0	AEXL02000031	3	176	-			hypothetical protein
AEXL02000031_1	AEXL02000031	292	546	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000031_2	AEXL02000031	543	737	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000031_3	AEXL02000031	808	1173	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AEXL02000031_4	AEXL02000031	1240	2340	-		Nitrosopumilus maritimus SCM1	aldo/keto reductase
AEXL02000031_5	AEXL02000031	2379	3263	-		"Nitrosopumilaceae" Konneke et al. 2005	1,4-dihydroxy-2-naphthoate octaprenyltransferase
AEXL02000031_6	AEXL02000031	3350	3556	+		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000031_7	AEXL02000031	3553	4623	-		Nitrosoarchaeum limnia	Hypothetical protein
