ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
M_T_PCIT_0_0	1799	1	1800	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_1	962	1816	2778	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	signal peptidase
M_T_PCIT_0_2	689	2866	3555	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Ribonuclease 3
M_T_PCIT_0_3	905	3552	4457	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	GTPase Era
M_T_PCIT_0_4	380	4571	4951	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	4'-phosphopantetheinyl transferase
M_T_PCIT_0_5	200	7872	8072	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_6	1376	10959	12335	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tRNA modification GTPase TrmE
M_T_PCIT_0_7	1616	12448	14064	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_8	338	14309	14647	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	ribonuclease P
M_T_PCIT_0_9	149	14667	14816	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_10	2150	14983	17133	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_11	215	17337	17552	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L31
M_T_PCIT_0_12	1103	18136	19239	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit beta
M_T_PCIT_0_13	2414	19535	21949	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_14	1013	22835	23848	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	sulfurtransferase
M_T_PCIT_0_15	209	24365	24574	M_T_PCIT_0	538294	+		Bacteria (2)	putative Cold shock-like protein CspC
